S021	C007	72	Scott Lily	Set Theory and Graph Theory
S021	C012	72	Scott Lily	Mathematical Logic
S021	C001	68	Scott Lily	High-level Language Programming
S021	C010	64	Scott Lily	Compendium of Chinese Modern and Contemporary History
S021	C006	77	Scott Lily	Physical Education
S021	C018	93	Scott Lily	Computer System
S021	C004	92	Scott Lily	Calculus B(1)
S021	C017	70	Scott Lily	Biochemistry B
S021	C005	98	Scott Lily	Linear Algebra and Analytic Geometry
S021	C016	74	Scott Lily	Data Structures and Algorithms
S021	C008	72	Scott Lily	Calculus B(2)
S021	C011	99	Scott Lily	Algorithmic Design and Analysis
S022	C005	65	Barbara Woo	Linear Algebra and Analytic Geometry
S022	C018	95	Barbara Woo	Computer System
S022	C013	99	Barbara Woo	Probability and Statistics
S022	C003	63	Barbara Woo	College English
S022	C016	91	Barbara Woo	Data Structures and Algorithms
S022	C017	69	Barbara Woo	Biochemistry B
S022	C012	79	Barbara Woo	Mathematical Logic
S022	C009	89	Barbara Woo	Situation and Policy
S022	C007	74	Barbara Woo	Set Theory and Graph Theory
S022	C001	86	Barbara Woo	High-level Language Programming
S022	C015	65	Barbara Woo	Digital Logic Design
S022	C006	82	Barbara Woo	Physical Education
S022	C004	95	Barbara Woo	Calculus B(1)
S023	C007	62	lfEllis Webb	Set Theory and Graph Theory
S023	C002	67	lfEllis Webb	PjBL and Technological Innovation
S023	C006	70	lfEllis Webb	Physical Education
S023	C001	94	lfEllis Webb	High-level Language Programming
S023	C008	72	lfEllis Webb	Calculus B(2)
S023	C018	72	lfEllis Webb	Computer System
S023	C005	81	lfEllis Webb	Linear Algebra and Analytic Geometry
S023	C012	60	lfEllis Webb	Mathematical Logic
S023	C013	61	lfEllis Webb	Probability and Statistics
S023	C003	73	lfEllis Webb	College English
S023	C010	83	lfEllis Webb	Compendium of Chinese Modern and Contemporary History
S024	C011	91	Afra Malachi	Algorithmic Design and Analysis
S024	C018	69	Afra Malachi	Computer System
S024	C010	83	Afra Malachi	Compendium of Chinese Modern and Contemporary History
S024	C017	73	Afra Malachi	Biochemistry B
S024	C008	87	Afra Malachi	Calculus B(2)
S024	C001	74	Afra Malachi	High-level Language Programming
S024	C009	96	Afra Malachi	Situation and Policy
S024	C013	61	Afra Malachi	Probability and Statistics
S024	C006	66	Afra Malachi	Physical Education
S024	C016	67	Afra Malachi	Data Structures and Algorithms
S024	C002	89	Afra Malachi	PjBL and Technological Innovation
S025	C014	75	Elliot Bobby	College Physics Experiments B
S025	C009	67	Elliot Bobby	Situation and Policy
S025	C017	96	Elliot Bobby	Biochemistry B
S025	C006	89	Elliot Bobby	Physical Education
S025	C003	82	Elliot Bobby	College English
S025	C015	72	Elliot Bobby	Digital Logic Design
S025	C008	70	Elliot Bobby	Calculus B(2)
S025	C005	62	Elliot Bobby	Linear Algebra and Analytic Geometry
S025	C012	76	Elliot Bobby	Mathematical Logic
S025	C004	81	Elliot Bobby	Calculus B(1)
S025	C016	76	Elliot Bobby	Data Structures and Algorithms
S025	C007	66	Elliot Bobby	Set Theory and Graph Theory
S025	C001	96	Elliot Bobby	High-level Language Programming
S026	C013	78	Jane Dobbin	Probability and Statistics
S026	C018	87	Jane Dobbin	Computer System
S026	C002	94	Jane Dobbin	PjBL and Technological Innovation
S026	C010	65	Jane Dobbin	Compendium of Chinese Modern and Contemporary History
S026	C001	79	Jane Dobbin	High-level Language Programming
S026	C012	90	Jane Dobbin	Mathematical Logic
S026	C016	72	Jane Dobbin	Data Structures and Algorithms
S026	C007	70	Jane Dobbin	Set Theory and Graph Theory
S026	C009	96	Jane Dobbin	Situation and Policy
S026	C006	91	Jane Dobbin	Physical Education
S026	C008	69	Jane Dobbin	Calculus B(2)
S026	C017	66	Jane Dobbin	Biochemistry B
S026	C003	76	Jane Dobbin	College English
S027	C006	91	Carl Whitman	Physical Education
S027	C012	61	Carl Whitman	Mathematical Logic
S027	C009	95	Carl Whitman	Situation and Policy
S027	C003	78	Carl Whitman	College English
S027	C017	66	Carl Whitman	Biochemistry B
S027	C002	80	Carl Whitman	PjBL and Technological Innovation
S027	C001	73	Carl Whitman	High-level Language Programming
S027	C004	60	Carl Whitman	Calculus B(1)
S027	C013	67	Carl Whitman	Probability and Statistics
S027	C016	89	Carl Whitman	Data Structures and Algorithms
S027	C014	92	Carl Whitman	College Physics Experiments B
